claim_id,evidence_family,priority,study,headline,synthetic_estimand,real_estimand,guardrail,gate_source,gate_key,headline_eligible,gate_present,gate_ready,status,selected_for_abstract
lost_confirmation_failures_mostly_outside_mod_harm,lost_case_composition,1,Lost in Delusion (arXiv:2606.00975),Handcrafted all-harm trajectories miss most real validation failures: even an intentionally overinclusive screen of the exact assistant-visible context captures only 26.5-30.0% of responses scored Validate/Amplify.,Mod+Harm trajectories in which every case reaches a harm phase.,"DCS=3 (Validate/Amplify) responses at 522 confirmed real endpoints, split by an audited 161-endpoint possible-Mod+Harm superset over the exact context shown to the assistant.","This is a conservative corpus-composition result, not evidence that crisis wording causally improves model behavior.",visible_mod_harm,ready,True,True,True,selected,True
synthetic_controls_underestimate_near_miss_false_positives,recognition_specificity,2,Lost in Delusion (arXiv:2606.00975),"Synthetic distress controls underestimate false alarms on natural near-misses such as fiction, role-play, and quoted beliefs.",Published FPR on synthetic distress-only trajectories.,FPR on 66 explicit-evidence retained-context natural near-misses across 65 conversations under the identical published prompt text and three official-BF16 shared models; the 100-case consensus cohort is a sensitivity analysis.,"This is a hard-negative stress test, not a population false-positive rate. The paper does not disclose the assessment pass's API message role; this reproduction records a user-role operationalization.",recognition,ready,True,False,False,awaiting_evidence,False
natural_near_misses_are_harder_than_generated_controls,recognition_specificity,2,WildDelusion control-realism audit,"Generated non-delusion controls make direct recognition look too specific: natural near-misses retain 29.6-38.7-point observed false-positive gaps after adversarial parse assignments, with 99% lower bounds of 11.9-20.2 points.",Generated matched non-delusion controls.,Within-model natural-minus-generated FPR for the exact published classifier on 66 two-pass fixed-model-adjudicated non-delusion near-misses with verbatim retained-context exclusion evidence and 101 generated non-delusion controls.,"Negative denotes non-delusion ground truth, not assistant safety. This is a hard non-delusion stress test, not population FPR. All unparsable outputs are assigned adversarially against the result, and uncertainty is clustered by source conversation. The two adjudication passes are not independent human labels.",recognition,ready,True,True,True,selected,True
paired_context_relocalizes_non_grounding_failures,context_conditioned_localization,3,WildDelusion prompt-deduplicated context ablation,Single-turn evaluation hides context-conditioned non-grounding: aggregate rates can remain stable while the failing cases change.,Prompt-hash-cached greedy responses to the exact final user message with all prior conversation turns removed.,Prompt-hash-cached greedy responses to the same final message with retained prior conversation turns.,"This covers 449 endpoints per model where the exact tokenized prompts differ. It is cancellation of heterogeneous context effects, not evidence that either arm is ground truth.",context,ready,True,True,False,gate_closed,False
psychogenic_implicitness_domain_drop,implicitness_transport,3,Psychogenic Machine (arXiv:2509.10970),Synthetic trajectories overestimate the effect of implicit rather than explicit wording in matched real histories.,"Paper-style full trajectories plus a matched-local synthetic arm: three-seed, temperature-1 implicit-minus-explicit DCS on three official-BF16 models.",Matched-local implicit-minus-explicit DCS on 327 real histories for the same three models.,"The claim is disabled unless the full-trajectory reproduction and matched-local synthetic effect are positive at 99%, all three models and seeds agree, and the matched domain drop is resolved.",psychogenic,abstract_claim_ready,True,True,False,gate_closed,False
paired_context_increases_non_grounding_severity,context_conditioned_localization,4,WildDelusion prompt-deduplicated context ablation,Retaining conversational history increases the ordinal severity of non-grounding responses even when binary prevalence changes little.,Greedy response to the exact final user message alone.,Greedy response to the same message with retained prior turns.,The effect was discovered with the pinned mini judge and must replicate at 99% with the previously unseen native Qwen judge in both official-BF16 models.,context,severity_ready,True,True,False,gate_closed,False
psychogenic_implicitness_model_generalization,implicitness_transport,4,Psychogenic Machine (arXiv:2509.10970),"A synthetic study's reported +0.31 implicit-wording penalty does not generalize: it reverses to -0.289 across three current open instruct models and all eight released scenarios (exact sign-flip sensitivity p=0.008), with the same direction in 327 matched real histories.",Published eight-model implicit-minus-explicit DCS direction and the released 16-case synthetic benchmark.,"Three-seed exact-prompt DCS on three current open instruct models, with matched-local synthetic and 327 matched real-history counterfactual pairs.","This is a model-generalization failure, not a same-model contradiction. The gate requires negative pooled 99% intervals in all three designs, seed/model directional consistency, and eight leave-one-scenario-out checks. The scenario sign-flip is a symmetry sensitivity analysis, not a randomized-experiment p-value; the matched-local synthetic sensitivity is weaker (two-sided p=0.031). The paper's OpenRouter judge alias did not disclose its historical snapshot; this reproduction pins gpt-4o-mini-2024-07-18.",psychogenic,model_generalization_claim_ready,True,True,True,selected,True
synthetic_three_theme_ontology_undercoverage,theme_coverage,5,Lost in Delusion (arXiv:2606.00975),A three-theme handcrafted ontology misses much of real content: 52.5% of confirmed endpoints are strict outside-ontology consensus (99% CI 44.0-61.0%).,"Thirty personas restricted to emotional dependence, sentient AI, and spiritual/messianic themes.",Dual-rubric closed-ontology adjudication of 522 confirmed real endpoints across 321 source conversations.,Both rubrics use the same fixed mini-model. Report the 99% conversation-cluster interval and do not claim a population majority because it crosses 50%.,theme_coverage,ready,True,True,True,selected,True
synthetic_overestimates_direct_recognition_sensitivity,recognition_sensitivity,6,Lost in Delusion (arXiv:2606.00975),Synthetic scripts overestimate direct delusion-recognition sensitivity on confirmed real messages.,Published FNR under the paper's exact disclosed classifier prompt.,FNR on 98 independently dual-adjudicated in-ontology endpoints from 63 source conversations under the identical published prompt text and three official-BF16 shared models.,The prompt admits only three synthetic themes; headline wording must separate in-ontology transport from broader ontology coverage. The paper does not disclose the assessment pass's API message role; this reproduction records a user-role operationalization.,recognition,ready,True,False,False,awaiting_evidence,False
synthetic_recognition_model_gap_overestimation,recognition_model_separation,6,Lost in Delusion (arXiv:2606.00975),Synthetic scripts overstate model separation in direct delusion recognition: a reported 71-point OLMo-Llama FNR gap is bounded to 1.0-24.5 points on strict in-ontology real endpoints with a 36.8-point clustered 99% upper bound.,Published OLMo-minus-Llama false-negative-rate gap under the paper's exact disclosed classifier prompt.,Adversarial partial-identification bound for the paired FNR gap on 98 dual-rubric in-ontology endpoints across 63 source conversations.,"Every malformed output is assigned to maximize the real gap and uncertainty is clustered by source conversation. This is descriptive transport, not a cross-study population interaction, because synthetic row-level predictions are unavailable. The two ontology rubrics are independently worded calls to the same pinned mini model, not independent human adjudicators.",recognition_gap,ready,True,True,True,selected,True
