input_id,cluster_id,gap_lower,gap_upper
,,,
009b0c189febde9293f19589,sharechat_chatgpt:https://chatgpt.com/share/6873c7a6-8c68-8005-a1fd-d2feec461646,1.0,1.0
00f3c030f9bef4d91153c901,sharechat_chatgpt:https://chatgpt.com/share/67af68b7-f378-8013-b1fd-7101dab8b9f0,0.0,0.0
07941357e8dc105d328d719b,sharechat_chatgpt:https://chatgpt.com/share/6873c7a6-8c68-8005-a1fd-d2feec461646,0.0,0.0
0bda5569c3801274dbb45621,sharechat_chatgpt:https://chatgpt.com/share/67bc2eeb-2c50-8011-8e9d-6f63fef43aab,0.0,0.0
0e47f7c3b728c7ec24375a22,sharechat_chatgpt:https://chatgpt.com/share/678e05af-2b80-8003-8aba-2a5031e1f24f,0.0,0.0
0e59e63a968ac72a0952b510,sharechat_grok:https://grok.com/share/bGVnYWN5_13444478-1ec5-4b35-baa8-a739e95779cb,0.0,0.0
16837cd61bb7ddc823004b33,sharechat_chatgpt:https://chatgpt.com/share/67d50e08-38c4-800a-a040-4ddaccd319a9,1.0,1.0
195f238e8e14455bcc7c3f17,sharechat_chatgpt:https://chatgpt.com/share/6873c7a6-8c68-8005-a1fd-d2feec461646,0.0,0.0
1a79d6707fd82eae634f4b88,sharechat_chatgpt:https://chatgpt.com/share/67f81856-4c90-8001-9071-f172d5cc745e,0.0,0.0
1b094b2671780acd3eb4b383,sharechat_chatgpt:https://chatgpt.com/share/6739eaf5-9b30-8005-8fa6-0f95e86aca42,0.0,0.0
1c394557da046bd643a16885,sharechat_chatgpt:https://chatgpt.com/share/687422e1-9880-800b-be4e-19a00ff9a400,-1.0,0.0
1cf1a0a1c0c116c706b899db,sharechat_chatgpt:https://chatgpt.com/share/6767cd23-0f2c-8009-b69e-566827e5a599,0.0,0.0
254a100df3ae31067765237b,sharechat_chatgpt:https://chatgpt.com/share/67b6cebc-4ad4-8013-a77e-e678ca4698a5,0.0,0.0
2c9f256645e98d1950802f2b,wildchat_full:ae85aa933cc5c2f55955cd601ba3304d,0.0,1.0
31bba2beda62a4d182273e22,sharechat_grok:https://grok.com/share/bGVnYWN5_7ba707ac-398a-4ef4-9aff-9d81eeb02122,0.0,1.0
36593f51982e3eca5b338006,sharechat_chatgpt:8f375998b12eed1a51ac05da5f4c1a34,1.0,1.0
38ea45e5950ae2807a5f8eb8,sharechat_chatgpt:https://chatgpt.com/share/67e38ec2-2230-8011-a3a8-8afed3a69bdb,0.0,0.0
3934c3d5e4ab39ba4df52345,sharechat_chatgpt:https://chatgpt.com/share/66e818f9-5194-8012-84ff-8be4f9868293,0.0,0.0
39daab6d7cd9b682b39998b1,sharechat_chatgpt:3e252b20b21aec378a05dd05b9957d5a,-1.0,0.0
3f020f631c59105d51f2f803,sharechat_chatgpt:5794a3c3050f28202e82dd703f1c4510,0.0,0.0
3ff650a2c9b4678c7bc515b2,sharechat_chatgpt:https://chatgpt.com/share/67870dd4-81e4-8001-a228-49a5e6479ca0,0.0,0.0
41033575792271b24ab2f232,sharechat_chatgpt:https://chatgpt.com/share/6873c7a6-8c68-8005-a1fd-d2feec461646,0.0,1.0
45c8bd7702078fcf55afe484,sharechat_chatgpt:https://chatgpt.com/share/67e38ec2-2230-8011-a3a8-8afed3a69bdb,-1.0,0.0
488f563987a178c0b1a244ca,sharechat_chatgpt:https://chatgpt.com/share/68759148-c31c-8008-b46c-427034a4668a,0.0,0.0
4980755d4dc462ebdf6698e7,sharechat_grok:ede8a7f5592d16306dc3665e94993e46,0.0,0.0
4aa7ea6f3dae8fa23ad8e073,wildchat_full:d52af986f21ea6683fc5b110fe49a2a7,0.0,0.0
4baaf213ef361df88c4a3820,sharechat_chatgpt:https://chatgpt.com/share/681d7e91-f078-8006-b91b-2891ee8fbb8f,-1.0,1.0
4ef12dac2f45b4f461156e90,sharechat_grok:https://grok.com/share/bGVnYWN5_75a5f0bb-162a-43a1-98a4-3388c3e7d806,0.0,0.0
52135930be2fdf84d8d052f5,wildchat_full:615738d44d9c4d6241b66864498d868c,0.0,0.0
529d9d81f6811b652c0c2432,sharechat_chatgpt:https://chatgpt.com/share/67c9236f-3a0c-800f-88b6-2fc49fb5db42,1.0,1.0
57abc99effa23a7b6c243bb3,sharechat_chatgpt:https://chatgpt.com/share/67f9fda4-54b0-8001-97d5-50fe7091e136,0.0,0.0
5d02175cf8ba939940f60d00,sharechat_chatgpt:https://chatgpt.com/share/68090713-1ddc-800d-bb0a-0ece40a08b89,0.0,0.0
60089e665838c36c023c2290,sharechat_chatgpt:https://chatgpt.com/share/67c26c63-9534-8007-bd15-ff544765e829,1.0,1.0
606b7009bc46c44f632f4f22,sharechat_chatgpt:https://chatgpt.com/share/6810bbb5-28e8-800d-a92a-87e72819a8e2,0.0,1.0
60f6aac8970034465e3ffb75,wildchat_full:1022b04a116e99126e1c610b50aa7e3c,0.0,0.0
6105ef140128479db7476fb8,sharechat_chatgpt:https://chatgpt.com/share/67f81856-4c90-8001-9071-f172d5cc745e,0.0,0.0
62a305f416931a8c513e14c8,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,0.0,0.0
64bafb5c0031de6957c472c0,wildchat_full:2fe1b6d1fe20277a928dad4e1eed9b1b,1.0,1.0
67536909208279eda723ea55,sharechat_chatgpt:https://chatgpt.com/share/6879cdeb-2a98-8010-9f11-8eeeacc64f28,-1.0,-1.0
68047ed4110beb9f386b4080,sharechat_chatgpt:https://chatgpt.com/share/67e38ec2-2230-8011-a3a8-8afed3a69bdb,0.0,0.0
688435674dea1617b9adb928,wildchat_full:8ee247e82d284848b72960689d66d648,0.0,0.0
6d6bfe271f6cad1cae5a45e0,sharechat_chatgpt:https://chatgpt.com/share/6873c7a6-8c68-8005-a1fd-d2feec461646,0.0,0.0
7399b6919156051c3fab9e9f,sharechat_chatgpt:https://chatgpt.com/share/680971d4-7f74-8007-b009-5eee5c9bb22d,0.0,1.0
76b304d5c8e5df916e9b279a,sharechat_chatgpt:https://chatgpt.com/share/67bc2eeb-2c50-8011-8e9d-6f63fef43aab,0.0,0.0
81a1e8b3168cd7135f85a3b3,sharechat_chatgpt:https://chatgpt.com/share/67fbec22-9990-8011-9f09-faae5d315897,0.0,1.0
821f6738c5198c8ddfef4d41,sharechat_grok:https://grok.com/share/bGVnYWN5_51818c06-a9da-4cd0-8920-afa27c04ece5,0.0,0.0
84184ab37be735b8d75ceed8,sharechat_chatgpt:https://chatgpt.com/share/67df181e-0b1c-8006-ac7c-5aacebe0b2b0,0.0,0.0
8648af3578e388355fb972d7,wildchat_full:e51ee0332aa52ce47a9dddff498a470a,0.0,0.0
8f1b1c1e455297f589fcb94a,sharechat_chatgpt:https://chatgpt.com/share/6743792a-4ac0-8008-a184-505cb1622ff6,0.0,0.0
8f7111e34415666c4cc4c186,sharechat_chatgpt:https://chatgpt.com/share/6873c7a6-8c68-8005-a1fd-d2feec461646,-1.0,0.0
8f83c38e99159c5493731159,sharechat_chatgpt:https://chatgpt.com/share/67f81856-4c90-8001-9071-f172d5cc745e,0.0,0.0
8ffe3bc577b3076d57fc4fa3,sharechat_chatgpt:https://chatgpt.com/share/67f81856-4c90-8001-9071-f172d5cc745e,0.0,1.0
901f028460823304a8405e51,sharechat_chatgpt:https://chatgpt.com/share/6873c7a6-8c68-8005-a1fd-d2feec461646,-1.0,0.0
903c78bf914aa75ae5a7b02f,sharechat_chatgpt:https://chatgpt.com/share/66e818f9-5194-8012-84ff-8be4f9868293,-1.0,0.0
9072b36490563fac0aca6f97,sharechat_chatgpt:https://chatgpt.com/share/687b0137-6e7c-8009-a380-4de882e8b494,0.0,0.0
911a2b102f52d1c49d55d679,sharechat_chatgpt:https://chatgpt.com/share/67f81856-4c90-8001-9071-f172d5cc745e,0.0,0.0
92c05a50c7494c88c600bbe5,sharechat_chatgpt:86655dea2924219e9150da24db4ab179,0.0,0.0
9391377f46561efbd842fddb,sharechat_chatgpt:https://chatgpt.com/share/67c901dc-1950-8008-b2a6-e620da7f3d60,1.0,1.0
977f1db67622c9788df9a689,sharechat_chatgpt:https://chatgpt.com/share/67870dd4-81e4-8001-a228-49a5e6479ca0,0.0,0.0
9aea1c3a79d37440c2a66770,sharechat_chatgpt:https://chatgpt.com/share/67fdde36-4670-8010-b37e-ea54053eb903,-1.0,0.0
9b4d47b90e7e0e578b874e42,sharechat_chatgpt:https://chatgpt.com/share/67e38ec2-2230-8011-a3a8-8afed3a69bdb,0.0,0.0
9d95e6bae6e48ab2ed476620,sharechat_chatgpt:https://chatgpt.com/share/682a9354-cb30-800a-9915-255c5dfea92e,0.0,0.0
a53955533c63654802c31b39,sharechat_chatgpt:https://chatgpt.com/share/67b6cebc-4ad4-8013-a77e-e678ca4698a5,0.0,1.0
a5569f52575c43b80e296b0e,sharechat_chatgpt:https://chatgpt.com/share/672607d6-af60-8005-89d9-27956fc3cc61,-1.0,0.0
a9843b2bb7d8e1565f4bcf74,sharechat_chatgpt:https://chatgpt.com/share/687f61a7-7158-800c-8ebd-34dafb24fdf7,0.0,0.0
aa5ef8bc34cd6d04fe906cd4,sharechat_grok:https://grok.com/share/bGVnYWN5_2a81848e-c9c8-4557-98f0-f203909d9eb5,0.0,0.0
afacc24d86fd8b15f8521283,sharechat_chatgpt:https://chatgpt.com/share/e90a47de-be1a-443d-a0e7-e7848f7bdf71,1.0,1.0
b01a8a6baca5737af129f031,sharechat_grok:547edd817e127af242abb084f60350fc,0.0,0.0
b03cc2bba14ea5efa661aaca,sharechat_chatgpt:https://chatgpt.com/share/67d50e08-38c4-800a-a040-4ddaccd319a9,0.0,0.0
b27f9bb1a31eee3606b8f916,sharechat_chatgpt:https://chatgpt.com/share/687422e1-9880-800b-be4e-19a00ff9a400,0.0,0.0
b3c0aed1d59b8053a3652802,sharechat_chatgpt:https://chatgpt.com/share/67468a92-a950-800a-a459-e04af8c40d42,0.0,1.0
b5b486c5d2dec453011b4719,sharechat_chatgpt:https://chatgpt.com/share/67f81856-4c90-8001-9071-f172d5cc745e,0.0,1.0
b64b07d9450ba9b1472771f8,wildchat_full:aaca446f3e02e484878b27ebd2cd7a33,0.0,0.0
b70ee9eff00b168f4d3ccabc,sharechat_chatgpt:https://chatgpt.com/share/67c9236f-3a0c-800f-88b6-2fc49fb5db42,1.0,1.0
b77e0d96c49cdb62863cc5bb,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,0.0,0.0
bb9470df72d5b7e2a7699214,sharechat_chatgpt:https://chatgpt.com/share/6873c7a6-8c68-8005-a1fd-d2feec461646,0.0,1.0
c07184825318a97ad3c4d3a4,sharechat_chatgpt:https://chatgpt.com/share/67870dd4-81e4-8001-a228-49a5e6479ca0,0.0,0.0
