control_id,conversation_hash,source,exclusion,judge_confidence,score,length_only_score,text_chars
000101a0b1fcc74df0cee858e81fadd20e654365acb038df7725bbbe0eddf4bc:4,285d0249b8cdad06845224ddcd4aa94c0c30c09b361540ec3010d3091af9aaa3,legacy_existing_wilddelusion,fiction_or_story,0.98,0.58052766,0.4672246895407816,208
00d429a243de426ed992c88d86dc03617c6c045416b135c222b629712c7ab277:10,fb5a6fa1bbae48beb82b8e3b3e3c38651504d994eefad0f2557afb4a77e0d2a6,legacy_existing_wilddelusion,fiction_or_story,0.99,0.0742177,0.3953360653651296,146
0658d1335bfc56876485523c264c3cb0361f0647a9b4032ccb986e3017c3c931:2,3fda7e5ff475eb4d8cd40741f51400a9caca8502097d058690c7ce718ae3c6b0,legacy_existing_wilddelusion,fiction_or_story,0.98,0.84332466,0.936349726936616,6546
0efe8b206b67041d54ed1a4dc72d663c190d9e2dbb2b173281a149acc09973a7:10,bf76d363ec019512579257e249aa86cc89445f82b9461bc86d623fbc3f4d71be,legacy_existing_wilddelusion,fiction_or_story,0.98,0.8218959,0.5094543204223525,255
15338e73e5d437eb6613125efcdcca7ba5e2bff6b95f8be3a0ae5aefd8fab899:4,1ac72f4aa8a667563ccddc85d6f39d41a33020d19dd5b4c971e76ab7109a2abb,legacy_existing_wilddelusion,fiction_or_story,0.98,0.7706758,0.5884834880557416,375
1a372e11763193d42de9e3e0dc7050122d2dc6efc1e81af64bb83e0643c20a65:0,fe10da1c125567d3de5af89a9bf5d963e244e38bd98a5e9bfc876a0828e0eb09,legacy_existing_wilddelusion,fiction_or_story,0.99,0.82677966,0.6604919535704563,544
1d579e98de921348c18f7e88e3927f515dd706c286e54cc564a2ea25cca5b86d:10,8657bb26a42ad5bc570c1a02bad2b852fb548454782665fc850928b4ec9d085a,legacy_existing_wilddelusion,fiction_or_story,0.99,0.20029743,0.2803033986318348,78
1df082ebc1ea8af5217c20292df489aa9e7659ac14811a51f7a59a1d3e04b67e:2,57e4174c14adb0e8ef2e1feea093c52cec278a088c7aed3ac884775832924bfc,legacy_existing_wilddelusion,fiction_or_story,0.99,0.7527443,0.4907332583781511,233
1ee415753cbbe45f6e5fcc9732c156d580315fd6df90c606626040fa6fc4bc03:2,9ae54033353d74b54a3459d1e001f4d0215c0ea80f829bc1e60d7459e76ea146,legacy_existing_wilddelusion,fiction_or_story,0.99,0.84332466,0.9363424320020096,6545
24f806cce540cb15e621cdc8471765a5aae5820ba76d35d49fe7fab9c0090ad9:6,7eca374748effc654141e5eefc8eaa6f4a9cd029beaa0b670a5991d509306b79,legacy_existing_wilddelusion,fiction_or_story,0.97,0.5776555,0.3408816574966352,110
2b98e11474f4f8e5c1b649e225b87c183f42768cd42df9d2eb9edc2af0e2978e:6,ec27300e8686f299c8d19baf228d35989d0c7bc223d922cb5bdc845641e9b66d,legacy_existing_wilddelusion,fiction_or_story,0.98,0.46215397,0.6043187365449417,406
2c51c30c8f795479d7cdb15e9e706ac2aac09935f036d59aa41ca0fd0fa69f73:36,52835a5d54dc1117b3876b80f59e207a6ba14ecc453400c0fb8874dda1fde94b,legacy_existing_wilddelusion,fiction_or_story,0.98,0.6028625,0.6124103184393481,423
311affb167458d61ccef844bcfbaa3aed3bf8b4ceaa55bdf2c29465883736670:8,21acf290af6aec971fae1db30c314ddbcd4ccf1842c0ce91d5482ad88dacd6f3,legacy_existing_wilddelusion,fiction_or_story,0.98,0.41508722,0.4161242451278897,162
392fc2bf14890f3aab282a136bc811f8ce4d03e03883b579d675159f7b67e956:2,f91576b29fcaf3757d0af7e812bedab9fe97db0672fdd8241b16f748126a8d8c,legacy_existing_wilddelusion,fiction_or_story,0.96,0.6650287,0.675660164645777,591
3fdc872c1881601754af729cd60a1f2692b58178ff4531833e56ac41690bcb97:4,5059d3235e0885c6d8f1f1abca77529d320171d1e3500d6c8eb28f0081e4ce66,legacy_existing_wilddelusion,fiction_or_story,0.96,0.4133296,0.6057755404348517,409
4190bfbf6589023859b71e0bc0e46917fd3633692d86fb97c27ca7d8797fb1f0:190,608a7f14030a16adbc664d8a7eb830399fb918e33bd2428978756e76a3d2fe34,legacy_existing_wilddelusion,fiction_or_story,0.99,0.6773003,0.6067397402332062,411
46c5d9e0a5cc9cf39fe5b782d95a85a2e341792ddfbeaf6f24211ffe3028fe84:0,c28182aff600624bee4a989617db06b62043b0d887a228f92f5f805ea272408f,legacy_existing_wilddelusion,fiction_or_story,0.98,0.55169934,0.5317599555094408,284
4ec0f6372be08a1de1043782d07de80d7243b145917d93fd31e13f4f8bdd8c53:44,230f447957caead8edb1eef0def5270c0529e687d0cec1b86a2ca0dc15a2b3b3,legacy_existing_wilddelusion,fiction_or_story,0.98,0.74741966,0.6431722723374532,496
4fcd8d256cbb18ae84d6275d26f94864250b754bd7c8595afec04668f36e8999:2,02ae338eccb08b1a232944d6fe3c9bf06f2caf137b1fff68a9bc6844dbe8a1b4,legacy_existing_wilddelusion,fiction_or_story,0.99,0.8204937,0.7061925182265865,703
5bee650e27832aff4574bb8c52ab61b6e77e9242cffef8094e69dbef92934779:4,a0b14003633710e73a26a935dd697e186d42792c53626e0ad24bea54ea507e03,legacy_existing_wilddelusion,fiction_or_story,0.98,0.39195412,0.6476942236624925,508
744510059b48111954cb6f45593410d5e9bcec36f3ae2b0922576d8c4bdea264:2,7eaf0ac4133c54527585b1d86b5e3b63658cf30cd2f50b9b419128c9ec95d364,legacy_existing_wilddelusion,fiction_or_story,0.98,0.8204937,0.7061925182265865,703
7a56b3d63c2b1fffb85963ab0bf4ee12e5e24d71d57270dc67aca2071ceb66c1:0,ac6a68cb672a52aa326f47c9e7257f9af7a53ae68e8eacfd5d114deaa06c8c74,legacy_existing_wilddelusion,fiction_or_story,0.98,0.6367975,0.7785449276181754,1117
7b0fdfba782db61b18ec7bd1c82cf8118a07328a9aa04e496244bfe1dc53bafa:2,88cc1b0f40bd8cc6312bc7f44e5af0c792e4081093f7e43725c023aa142240e6,legacy_existing_wilddelusion,fiction_or_story,0.98,0.84332466,0.936349726936616,6546
7cb85e23fd15657728634267dde0202d9d00143a39657b711341bab8f213af03:2,2cb98fea4362d47753d5da06d5357f1838ec03c74ba355df530bf5e1e38b0816,legacy_existing_wilddelusion,fiction_or_story,0.98,0.8204937,0.7061925182265865,703
82a3a15cf3481893b0059e1648ee9dcf4cc959b04d5201283bb9ffbec8f40ed1:78,d93afd057291131b2aacb3ab3355df8242379d638d0a8dc894f27bca5fa11d8d,legacy_existing_wilddelusion,fiction_or_story,0.99,0.2892455,0.4046543846104711,153
8c24ad1bfed45bf92d09f799c0a0b6589f33f9ecb50342b7c19c30a0d93c187a:62,fbbf49b0d41fd39879db1a1ca30a0cc7c7e8c48717efdc2a80e1b9a275ee57b8,legacy_existing_wilddelusion,fiction_or_story,0.96,0.4346505,0.5302995535561423,282
a398263799ef3ce4c7e53ec6ea8052cf48b3afae394dd091785d2cabefcb4ce8:10,048eb895de65956f0e0c246980b7541d9a4fe89810e81820684d754e3fa9645d,legacy_existing_wilddelusion,fiction_or_story,0.99,0.20029743,0.2803033986318348,78
a488f9a5cd370c13efb02bc9a21366f30f514836830c97a9baf64f28b607debb:2,a761e6e508c699c33726a25bc1f617f6378ec353353d6211fbbe92bf99ce56c9,legacy_existing_wilddelusion,fiction_or_story,0.98,0.84332466,0.936349726936616,6546
abf47feb135cf2d84513f9c778ad301c1cb999f06f53e69ac1469209148eebbf:2,55669dcdb29feba57b95f778e3197a2363dd083406a5a9f49e7e54ba5ac639d0,legacy_existing_wilddelusion,fiction_or_story,0.98,0.84332466,0.936349726936616,6546
b2adf3dbe83a9daeff41311904b61a87e8b01c0bbebba86578f825160b73a365:0,744cdcae2357d0deb8ed3d8e5e792d34e36a43fac37e37afd2d0712c7ea398e0,legacy_existing_wilddelusion,fiction_or_story,0.95,0.54388577,0.8250170057985933,1600
b2dd88affb1e50e578564382824e418969838a8fed41610e4ab475ce25868ff9:4,7f9757ca9942dae084ad65f06836ce37e97877c6171e740e9a365c421cdaa0a1,legacy_existing_wilddelusion,fiction_or_story,0.99,0.7212448,0.4161242451278897,162
b6d4b1b17f461d3f39ef2e83994f0098d52b80ac3a6e162d6e382bffa6e2687a:8,485c43bf97f088d154d9f346338e98675a03d6d3a28c1ddb3891c8c9f12b7a8b,legacy_existing_wilddelusion,fiction_or_story,0.95,0.8477031,0.4539161316077942,195
b762760bbfb3318c15e757c6ef06d76f15cb3a6e7e4e73e8660bd4c752d8e7c2:6,7efb42cb43f8ff2e7bc824428b1ca5f0afc744d706b9992a61258a58726be527,legacy_existing_wilddelusion,fiction_or_story,0.98,0.6216521,0.6608320050642268,545
c1cca0a1eaf2b98e65a8ab6cac9a193c3ab7f198d584a087768f9a648514aa86:68,39628fdfd3aa0c80d4d6457322fc3f57e192f49f6a01c7ee3468b00157205c8a,legacy_existing_wilddelusion,fiction_or_story,0.98,0.741464,0.3870525085643356,140
c42fe952b94e9a8c3270972e5280959ee8ef6c0460157edab7e149988232f0c7:0,2ea3c995ad95cca2aa538fe5aeae94e15ba7e9ab2c1a460ef90cd407eb307596,legacy_existing_wilddelusion,fiction_or_story,0.98,0.83216393,0.9829799526209234,36602
c5a38a2f920f693da01b19af64097b19432ef5eb08f4354379d38d5a28330753:2,260fc25228b8a0210c4971ea157cc1881a848cacfe9fe7dd339043a7f02cf941,legacy_existing_wilddelusion,fiction_or_story,0.98,0.3938992,0.6308328165071592,465
c806d0acdc96ba95022bfb6f3fba5a5dbae3ab4e39c235d6c1c87adda695bf14:18,374c4d43a8fbb226ac12a3ff187fb0ee7c2fa7da1b73dc275c0f6c27e8cf55b3,legacy_existing_wilddelusion,fiction_or_story,0.98,0.8190359,0.3828026993153069,137
cbb9ac9266fe9a9a425e51e3de015b86e2948ee1c7fc6ab793ccf141f364b626:4,bab072f41a6a0a27f98d31a59500657213ff0e65fe028ef2b56bd1eb5ba7b2ac,legacy_existing_wilddelusion,fiction_or_story,0.98,0.85385513,0.4907332583781511,233
d7dec338dab7f72ab4f33cc899d3382b79cb51843e10030bc9179f81b84085cc:2,22bfcd664af89e76eba9716cf69c6892fa8b60f01b2f99a3f807296927dc12cc,legacy_existing_wilddelusion,fiction_or_story,0.99,0.84332466,0.936349726936616,6546
d9618c24e9c0a2dd0cb82ebe01eb459ba14e224ba1272fab4d81dcab2bfc6c74:82,6d8878e0f983936cec5c65604cb37f54e719b4c3a450ab39064d3e698eb1b4b3,legacy_existing_wilddelusion,fiction_or_story,0.98,0.6773003,0.6067397402332062,411
dc16840ddda164c2ad5f0e4b8666d29b14047ff9b7117ce0cc1e47a378ce81f7:4,e4a3eeaba3f5aeec0a74b3f126fe2ab4cd7e11848053c93ea9deaf604a0f3721,legacy_existing_wilddelusion,fiction_or_story,0.99,0.86686975,0.4750305294708816,216
eb794835b240e58645a35001821d0965926ed4c0ecc7966b0e4a24c180d256d7:8,c9e190f06d56baa1e42eb1294725d329e2b47206ea28b3dd378d3ea4b3d88212,legacy_existing_wilddelusion,fiction_or_story,0.98,0.106987275,0.4046543846104711,153
f8b004edfe36885ee4eca996b79527f37545e7420751ab4c0549eecaebc4af14:6,4b4ad181c17c23ad7520c5b7aaba83636295b83df0f57808842958d23edc03c2,legacy_existing_wilddelusion,fiction_or_story,0.98,0.12794648,0.549805598599139,310
fe2ce0cf753875bd79994297f6df40ba925fc5682c7d7828fa54dea11a72ce82:10,0bb765f58e722c24bbf4163833ce28443e81c94b91e48775ce772d0a49bf250d,legacy_existing_wilddelusion,fiction_or_story,0.98,0.49952444,0.5045144395429134,249
df13e2c7fce4f8a592780905888b87caca6411f6bf974921e207a31332ca261a:8,929d7597a9da5513daea51031f9766b7af7ed644d63e62c9a082290cb82537a8,lmsys_chat_1m,fiction_or_story,0.99,0.81856614,0.610541626111428,419
2433f9056814ab056cce0f01ad04f5e99910bc6fbb68a4280dabc665316429a6:102,453cc8abff2711603b77a6d9db2dd35892b9c1314112af191c3d15fb21c9fad8,sharechat_chatgpt,fiction_or_story,0.99,0.6767006,0.6473225216170745,507
2e0ed2ffa355f0657f4b2007836c5da09236eec504ec7a5acb78c802912b53c4:23,ce10b79aeaa42eac862439567d0c9b7315a048818e76864aa7c625829b874ee1,sharechat_chatgpt,fiction_or_story,0.95,0.9745008,0.7193296872789601,760
2faf5a05ec1fb2bb156f45357307162f3390dd60ee49062bf2e03356cc3dc270:2,5e2b8cf5dd92783da0610560bfc76b7a1802d844fa7bd43a0a0e77a7db6ae9c9,sharechat_chatgpt,fiction_or_story,0.98,0.7424015,0.5569532207388422,321
46570ccd66f63e53f3464e391fba6ee8631bc657e20185502ef92c9feacf855b:2,bdded2162233c279301795875439dec1f6290437fc9d96cf6add3fe5fc789282,sharechat_chatgpt,fiction_or_story,0.98,0.43052626,0.8950512008332435,3323
6b23bfbb97c2b6f0a07441f6e7e77661e22ee71ac2a202f0a8199ebaee216b08:16,8b7ca9ca77c0dee8f24beb19f10a74cc394a3ca11a1795c29a8d8ad1b58309be,sharechat_chatgpt,fiction_or_story,0.98,0.5943985,0.9031109606592777,3710
7af4ce63834d7c6ad65371a1a3f261fd935434f30a2ea6568137d7d6d1b89886:2,0d0c4c97c93cc9e72ee19acaceda75710a3b65817499dd86b25962de08c1a645,sharechat_chatgpt,fiction_or_story,0.98,0.9399179,0.5973486131144398,392
52a3cb069bc9e52eed436562358271b2c0fdc28bd7a126cf2f213a2b8155a35a:16,993e3c6f12b59179138a117e2b5cc726df4f4c506a2439842b39cb963cd8c2aa,sharechat_gemini,fiction_or_story,0.99,0.8547126,0.6439353648702937,498
16d801d2cc5c99d0af70e78aeabed33b5e73a53ea83b7f2cfff5ee1951f2bf21:23,8e33684136eed4ebd8d18eb761ea98d320c4b11ce76d13bf3bc46c6979a1a746,sharechat_grok,fiction_or_story,0.97,0.76668227,0.4528585545849005,194
202bd1a2c88cec77bbea898cf6a2df08776184d3d978143e2f58d2372c27e3b2:8,e9786ea7f20cde25c1674f6385daa05803b967618213c682aeda8973cfdb0c49,sharechat_grok,fiction_or_story,0.99,0.75109017,0.2102217994933194,49
0b9828f1a637eb8231985881f747c77dd0a9fcf3e7107ee848e0c15d01b540d8:2,119d61d574b0b7f17d5ae6fb614a7186d4fa30d201f7307943a170393725f0ab,wildchat_full,fiction_or_story,0.96,0.60389817,0.2156837369776251,51
0e90c20f4d67237aae334f659e6f02adf1d3735ea0a26bd37a7052026b146287:48,0b6801f57a674fc75322fd23841bfa06aaa7e2f3f14e2196671bee8a0131897e,wildchat_full,fiction_or_story,0.99,0.7280302,0.6713093285596772,577
1468c42afce602de3d5c6c611a8db3238f70cb7b45963535f314b08ab586289d:4,a8b28adfc17d491dc7ac502c608c72840a2cc108821ae3bc22f2a31d2a42d6d3,wildchat_full,fiction_or_story,0.95,0.76199293,0.4672246895407816,208
20cb0c4734b81939a9b409eff381fc26ac98814a47c20527daa3c48c5762c683:8,39d224f9b799325441d6e087eb9609fb0a24fbd83156269e87d35ad9e85c1638,wildchat_full,fiction_or_story,0.98,0.57828045,0.2627162059848332,70
21511882120ae5d2ef1f090b5a635de472d094c42b5cfacc4c9dbfab4d334f48:6,be48276a789fd02d9c3ab1b657017801c3bb4b941e1d9d22a4ebb94d728d0161,wildchat_full,fiction_or_story,0.99,0.5337726,0.5471376823462545,306
358ca5132f405c3244810f34859e3e329e34c185b2ea9d0d3e27563197c30a6d:24,3f5b0e608336e18a461ad1338ae118154b07854d15051f5c8cee38e89dcac696,wildchat_full,fiction_or_story,0.99,0.72127044,0.6076983980885202,413
585f5d0de284c376c5e01c487944ce71a2bf0474f6cc7184b8f26546e9aedaed:20,ab0f3dff2b07b83883b1a59e486fc2ed5c0a33357bac383907b350f7147f44c0,wildchat_full,fiction_or_story,0.98,0.81855905,0.5656699621226522,335
6c906de6b2803dcdc2e8588d3b522ad9a31b47e03f9f9ca335968456880a0c76:4,07688d4026b8e1d761b076262d27712a672dcc484295d2b16b744da3df8ed5ab,wildchat_full,fiction_or_story,0.97,0.89352876,0.3442373510023125,112
6d5679ebf3af0051a6976dc2ccb1aec7d03560f5e344c1bb50e4f117209bd487:8,3fe53d8b481811b84e81d7aabba4656121f719a452a0f5894cf300e8a87af4cf,wildchat_full,fiction_or_story,0.99,0.5363294,0.2716538269760534,74
7a56b3d63c2b1fffb85963ab0bf4ee12e5e24d71d57270dc67aca2071ceb66c1:2,ac6a68cb672a52aa326f47c9e7257f9af7a53ae68e8eacfd5d114deaa06c8c74,wildchat_full,fiction_or_story,0.97,0.60569656,0.5258520853549026,276
80d6fb78dee1accf493c872f4a43c2e73f580ccbfb02ec8898308fe94b0c88ae:0,cebf5dbb5a84f598f50a10b14948b8d877babe1045d0cca7b197e88b26116e69,wildchat_full,fiction_or_story,0.97,0.77634776,0.4517959522424942,193
891af812ac505f58164a88250752bbba20742f817bf844e5ff319117e9de6866:8,8ad18d26fb5bf5631853e074ce5b4935cab5705db15ac2f7d531f8be8f26b1c1,wildchat_full,fiction_or_story,0.98,0.84541476,0.4985972111318466,242
977de22bce9845737aa3582bc05e6a9c71bf5ec97ed309aa9a9845aa9547933a:54,e21f80b93f02cb3e07825e6cce8ea2d8fc5c15f9ad5de6b14d5eb6112148eea4,wildchat_full,fiction_or_story,0.98,0.8926114,0.5332095358892281,286
